quantile,Y2020,Y2030,Y2040,Y2050,Y2060,Y2070,Y2080,Y2090,Y2100,Y2110,Y2120,Y2130,Y2140,Y2150
0,-0.106,-0.124,-0.145,-0.173,-0.178,-0.174,-0.196,-0.148,-0.207,-0.113,-0.121,-0.13,-0.14,-0.154
0.00100000004749745,-0.052,-0.054,-0.046,-0.04,-0.033,0.01,0.023,0.072,0.114,0.053,0.076,0.093,0.106,0.114
0.00499999988824129,-0.033,-0.027,-0.013,0.001,0.024,0.057,0.096,0.146,0.2,0.153,0.184,0.22,0.239,0.258
0.00999999977648258,-0.025,-0.016,0.003,0.02,0.047,0.085,0.123,0.187,0.241,0.199,0.238,0.271,0.3,0.328
0.0199999995529652,-0.016,-0.004,0.018,0.041,0.071,0.114,0.157,0.226,0.288,0.247,0.289,0.33,0.368,0.399
0.0299999993294477,-0.011,0.004,0.028,0.053,0.086,0.133,0.178,0.251,0.319,0.283,0.33,0.373,0.412,0.447
0.0399999991059303,-0.007,0.01,0.035,0.063,0.098,0.147,0.195,0.271,0.339,0.304,0.355,0.403,0.445,0.483
0.0500000007450581,-0.003,0.015,0.041,0.071,0.108,0.158,0.208,0.285,0.358,0.325,0.376,0.428,0.474,0.515
0.0599999986588955,-0.001,0.019,0.047,0.077,0.117,0.167,0.219,0.298,0.374,0.344,0.398,0.449,0.497,0.541
0.0700000002980232,0.002,0.022,0.051,0.084,0.124,0.176,0.23,0.309,0.386,0.362,0.419,0.471,0.52,0.563
0.0799999982118607,0.004,0.025,0.055,0.089,0.131,0.183,0.239,0.318,0.397,0.376,0.434,0.489,0.539,0.583
0.0900000035762787,0.006,0.028,0.059,0.094,0.137,0.189,0.247,0.327,0.408,0.388,0.448,0.504,0.555,0.601
0.100000001490116,0.008,0.031,0.062,0.098,0.142,0.195,0.253,0.334,0.418,0.399,0.461,0.517,0.569,0.617
0.109999999403954,0.009,0.033,0.065,0.103,0.146,0.2,0.261,0.343,0.427,0.409,0.471,0.53,0.584,0.632
0.119999997317791,0.011,0.035,0.068,0.107,0.15,0.206,0.267,0.351,0.435,0.42,0.483,0.542,0.596,0.647
0.129999995231628,0.012,0.037,0.071,0.111,0.154,0.212,0.274,0.357,0.443,0.43,0.494,0.555,0.61,0.661
0.140000000596046,0.014,0.039,0.073,0.114,0.159,0.217,0.279,0.363,0.451,0.439,0.505,0.567,0.623,0.674
0.150000005960464,0.015,0.041,0.076,0.117,0.163,0.221,0.285,0.369,0.459,0.447,0.513,0.577,0.634,0.688
0.159999996423721,0.016,0.042,0.078,0.12,0.167,0.226,0.29,0.374,0.466,0.455,0.523,0.587,0.646,0.7
0.166999995708466,0.017,0.044,0.08,0.122,0.169,0.229,0.293,0.378,0.47,0.461,0.529,0.593,0.653,0.708
0.170000001788139,0.018,0.044,0.08,0.123,0.17,0.231,0.295,0.38,0.472,0.463,0.532,0.596,0.656,0.711
0.180000007152557,0.019,0.046,0.082,0.126,0.174,0.235,0.299,0.386,0.479,0.47,0.54,0.607,0.666,0.722
0.189999997615814,0.02,0.047,0.084,0.128,0.177,0.239,0.304,0.391,0.485,0.478,0.548,0.615,0.676,0.732
0.200000002980232,0.021,0.049,0.086,0.131,0.18,0.243,0.309,0.396,0.492,0.486,0.556,0.624,0.687,0.743
0.209999993443489,0.022,0.05,0.088,0.134,0.183,0.246,0.313,0.401,0.497,0.493,0.565,0.633,0.696,0.753
0.219999998807907,0.023,0.052,0.09,0.136,0.186,0.249,0.317,0.406,0.502,0.5,0.573,0.642,0.705,0.764
0.230000004172325,0.024,0.053,0.092,0.138,0.189,0.253,0.321,0.41,0.508,0.507,0.58,0.65,0.713,0.774
0.239999994635582,0.025,0.055,0.093,0.141,0.192,0.256,0.325,0.415,0.513,0.513,0.588,0.658,0.722,0.784
0.25,0.026,0.056,0.095,0.143,0.195,0.26,0.329,0.42,0.518,0.52,0.594,0.666,0.731,0.793
0.259999990463257,0.027,0.057,0.097,0.145,0.198,0.263,0.332,0.425,0.523,0.526,0.602,0.673,0.74,0.802
